Jurisdiction,Year,Fuel,Unit,Quantity
AUS,2016-17,Large-scale solar PV,GWh,672.397
AUS,2016-17,Natural gas,GWh,50459.75
AUS,2016-17,Oil products,GWh,5272.59
AUS,2016-17,Other,GWh,
AUS,2016-17,Small-scale solar PV,GWh,7399.259
AUS,2016-17,Total,GWh,258016.971
AUS,2016-17,Total non-renewable,GWh,217562.396
AUS,2016-17,Total renewable,GWh,40454.576
AUS,2016-17,Wind,GWh,12596.986
AUS,2017-18,"Bagasse, wood",GWh,2258.894
AUS,2017-18,Biogas,GWh,1258.792
AUS,2017-18,Black coal,GWh,121689.29
AUS,2017-18,Brown coal,GWh,36021.427
AUS,2017-18,Geothermal,GWh,
AUS,2017-18,Hydro,GWh,16020.789
AUS,2017-18,Large-scale solar PV,GWh,1007.582
AUS,2017-18,Natural gas,GWh,53881.672
AUS,2017-18,Oil products,GWh,4820.876
AUS,2017-18,Other,GWh,
AUS,2017-18,Small-scale solar PV,GWh,8922.359
AUS,2017-18,Total,GWh,261056.106
AUS,2017-18,Total non-renewable,GWh,216413.265
AUS,2017-18,Total renewable,GWh,44642.841
AUS,2017-18,Wind,GWh,15174.426
AUS,2018-19,"Bagasse, wood",GWh,2152.237
AUS,2018-19,Biogas,GWh,1343.644
AUS,2018-19,Black coal,GWh,119809.515
AUS,2018-19,Brown coal,GWh,34495.245
AUS,2018-19,Geothermal,GWh,
AUS,2018-19,Hydro,GWh,15967.281
AUS,2018-19,Large-scale solar PV,GWh,3732.36
AUS,2018-19,Natural gas,GWh,52775.403
AUS,2018-19,Oil products,GWh,4922.945
AUS,2018-19,Other,GWh,
AUS,2018-19,Small-scale solar PV,GWh,11116.163
AUS,2018-19,Total,GWh,264026.746
AUS,2018-19,Total non-renewable,GWh,212003.109
AUS,2018-19,Total renewable,GWh,52023.637
AUS,2018-19,Wind,GWh,17711.951
AUS,2019-20,"Bagasse, wood",GWh,1989.764
AUS,2019-20,Biogas,GWh,1361.866
